# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.24%             1  38            LFB hit                   [.] mo_imp_sol_mp_imp_sol_                                                     kernel-858.exe     [.] 0x00007fff6f398f80                        [stack]                                       None          L1 or L2 hit            No    
     0.24%             1  38            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc380e8                        [stack]                                       None          L1 or L2 hit            No    
     0.24%             1  38            L3 miss                   [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e17cd00                        [stack]                                       N/A           L1 or L2 hit            No    
     0.24%             1  37            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e9006a0                        [stack]                                       None          L1 or L2 hit            No    
     0.24%             1  37            L3 miss                   [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e438000                        [stack]                                       N/A           L1 or L2 hit            No    
     0.23%             1  36            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6faa7d10                        [stack]                                       None          L1 or L2 hit            No    
     0.22%             1  35            L3 miss                   [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6df2f2c0                        [stack]                                       N/A           L1 or L2 hit            No    
     0.22%             1  34            L1 hit                    [k] __audit_syscall_entry                                                      [kernel.kallsyms]  [k] __per_cpu_end+0xffff8808234b4788          [kernel.kallsyms]                             None          L1 or L2 hit            No    
     0.22%             1  34            L3 miss                   [k] perf_event_aux_ctx                                                         [kernel.kallsyms]  [k] 0xffff88103fd1dd90                        [unknown]                                     N/A           L1 or L2 hit            No    
     0.21%             1  33            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc39168                        [stack]                                       None          L1 or L2 hit            No    
     0.21%             1  32            L1 hit                    [.] mo_lin_matrix_mp_linmat02_                                                 kernel-858.exe     [.] 0x0000000000621950                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.21%             1  32            L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e0d9140                        [stack]                                       None          L1 or L2 hit            No    
     0.21%             1  32            LFB hit                   [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6f15c490                        [stack]                                       None          L1 or L2 hit            No    
     0.21%             1  32            LFB hit                   [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc37d40                        [stack]                                       None          L1 or L2 hit            No    
     0.21%             1  32            L2 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6ea0d7b0                        [stack]                                       None          L1 or L2 hit            No    
     0.21%             1  32            L3 miss                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fb63f80                        [stack]                                       N/A           L1 or L2 hit            No    
     0.20%             1  31            L1 hit                    [.] mo_lu_solve_mp_lu_slv01_                                                   kernel-858.exe     [.] 0x00007fff6dc396c8                        [stack]                                       None          L1 or L2 hit            No    
     0.20%             1  31            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6f79a2e0                        [stack]                                       None          L1 or L2 hit            No    
     0.19%             1  29            LFB hit                   [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e513d50                        [stack]                                       None          L1 or L2 hit            No    
     0.19%             1  29            LFB hit                   [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f7ac970                        [stack]                                       None          L1 or L2 hit            No    
     0.18%             1  28            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6dc38518                        [stack]                                       None          L1 or L2 hit            No    
     0.18%             1  28            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6f8a1a18                        [stack]                                       None          L1 or L2 hit            No    
     0.18%             1  28            LFB hit                   [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6f713170                        [stack]                                       None          L1 or L2 hit            No    
     0.17%             1  27            L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6dc37730                        [stack]                                       None          L1 or L2 hit            No    
     0.17%             1  27            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc390e8                        [stack]                                       None          L1 or L2 hit            No    
     0.17%             3  9             L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x0000000000621d10                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.17%             3  9             L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x0000000000621d10                        kernel-858.exe                                None          L1 or L2 hit            No    
     0.17%             1  26            L1 hit                    [.] mo_nln_matrix_mp_nlnmat_finit_                                             kernel-858.exe     [.] 0x00007fff6e976f60                        [stack]                                       None          L1 or L2 hit            No    
     0.17%             1  26            L1 hit                    [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6dc39998                        [stack]                                       None          L1 or L2 hit            No    
     0.17%             1  26            LFB hit                   [.] for_read_seq_xmit                                                          kernel-858.exe     [.] 0x00007fff6fbeb464                        [stack]                                       None          L1 or L2 hit            No    
     0.16%             1  25            LFB hit                   [.] mo_prod_loss_mp_imp_prod_loss_                                             kernel-858.exe     [.] 0x00007fff6fb37c90                        [stack]                                       None          L1 or L2 hit            No    
     0.15%             1  24            LFB hit                   [.] mo_lin_matrix_mp_linmat01_                                                 kernel-858.exe     [.] 0x00007fff6f906530                        [stack]                                       None          L1 or L2 hit            No    
