# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 721  of event 'cpu/mem-loads/pp'
# Total weight : 15608
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                                                         Shared Object      Data Symbol                                   Data Object                                   Snoop         TLB access              Locked
# ........  ............  ............  ........................  .............................................................................  .................  ............................................  ............................................  ............  ......................  ......
#
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac01_                                                  kernel-858.exe     [.] 0x00007fff6dc45f40                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac01_                                                  kernel-858.exe     [.] 0x00007fff6dc66aa0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac01_                                                  kernel-858.exe     [.] 0x00007fff6e20cc40                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac01_                                                  kernel-858.exe     [.] 0x00007fff6e3efde0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac02_                                                  kernel-858.exe     [.] 0x00007fff6e2df890                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac02_                                                  kernel-858.exe     [.] 0x00007fff6e402388                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e377c40                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e48c090                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e4f2e70                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac03_                                                  kernel-858.exe     [.] 0x00007fff6e52b5e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e017330                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e24e848                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e2a4c80                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e37ee00                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac04_                                                  kernel-858.exe     [.] 0x00007fff6e3efda0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6dc39ab0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6e1be320                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6e252340                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6e38afa0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac05_                                                  kernel-858.exe     [.] 0x00007fff6e4f7270                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6dc39a68                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6de9b9e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e1ac400                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e392150                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac06_                                                  kernel-858.exe     [.] 0x00007fff6e4a03e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6df54d30                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6e2f3fc0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6e402c30                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6e4493f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac07_                                                  kernel-858.exe     [.] 0x00007fff6e5321f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac08_                                                  kernel-858.exe     [.] 0x00007fff6de30190                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac08_                                                  kernel-858.exe     [.] 0x00007fff6de3f650                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6dc399f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6dc39a10                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6dc39a50                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6dfef8a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac09_                                                  kernel-858.exe     [.] 0x00007fff6e3ac430                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6dc39a98                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6dc39ae8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6e0ae8c0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6e26b750                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac10_                                                  kernel-858.exe     [.] 0x00007fff6e3f7850                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6df2d280                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e01a4e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac11_                                                  kernel-858.exe     [.] 0x00007fff6e2b5090                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e201f60                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e3366a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e3becd0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac12_                                                  kernel-858.exe     [.] 0x00007fff6e3cb3e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6dc39940                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6dc39a08                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6dc39a28                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e273360                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e3ca950                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e5916e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac13_                                                  kernel-858.exe     [.] 0x00007fff6e5b6b10                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6dc39990                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e07aa50                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e0d52c0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e2cc8a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e303800                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e306670                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e3f50b0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac14_                                                  kernel-858.exe     [.] 0x00007fff6e44d2f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e14ffa0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e177290                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e179880                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e1d0f00                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e28f970                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e4d8030                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e50ca00                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac15_                                                  kernel-858.exe     [.] 0x00007fff6e5ba320                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc39818                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc398a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc399a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6dc39ab0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e0e4490                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e126840                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e147d60                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e16fbf0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e281980                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e422020                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e422960                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e4de8a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e550e60                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac16_                                                  kernel-858.exe     [.] 0x00007fff6e557c60                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6dc39828                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6dc39830                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6dc399f8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e28e320                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e426ed0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e46d0b0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e4dfb50                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e58edb0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac17_                                                  kernel-858.exe     [.] 0x00007fff6e599450                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e22f740                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e234470                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e29bf10                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e3e36e0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac18_                                                  kernel-858.exe     [.] 0x00007fff6e3e8200                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6dc398e8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2a15a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2a1670                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e2e6f20                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e3f9210                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e45ba10                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e4f1c00                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e4fa9f0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e5152a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e522ee0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac19_                                                  kernel-858.exe     [.] 0x00007fff6e524218                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac20_                                                  kernel-858.exe     [.] 0x00007fff6e4ff580                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac20_                                                  kernel-858.exe     [.] 0x00007fff6e55bdf0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_factor_mp_lu_fac20_                                                  kernel-858.exe     [.] 0x00007fff6e5cdb30                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6dc396a8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv02_                                                   kernel-858.exe     [.] 0x00007fff6f0faba0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6dc398c8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e066510                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv03_                                                   kernel-858.exe     [.] 0x00007fff6e09e9b0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv04_                                                   kernel-858.exe     [.] 0x00007fff6e243db0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv04_                                                   kernel-858.exe     [.] 0x00007fff6f154718                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv05_                                                   kernel-858.exe     [.] 0x00007fff6e4cbf20                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6dc39780                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv06_                                                   kernel-858.exe     [.] 0x00007fff6f143010                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv07_                                                   kernel-858.exe     [.] 0x00007fff6e2573a0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dc398e8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dc39a18                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_lu_solve_mp_lu_slv08_                                                   kernel-858.exe     [.] 0x00007fff6dc39ab8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat01_                                                 kernel-858.exe     [.] 0x00007fff6dc39278                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat02_                                                 kernel-858.exe     [.] 0x00007fff6f94a130                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc39420                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc395d8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat03_                                                 kernel-858.exe     [.] 0x00007fff6dc39790                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc39228                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc395d8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat04_                                                 kernel-858.exe     [.] 0x00007fff6dc399b8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6dc393d8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat05_                                                 kernel-858.exe     [.] 0x00007fff6fa1f060                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc39288                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc39468                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc394b8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc395b0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc39628                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6dc396f8                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6fa1c560                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat06_                                                 kernel-858.exe     [.] 0x00007fff6fa7dce0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6dc39828                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6dc39ac0                        [stack]                                       None          L1 or L2 hit            No    
     0.04%             1  7             L1 hit                    [.] mo_nln_matrix_mp_nlnmat07_                                                 kernel-858.exe     [.] 0x00007fff6faae100                        [stack]                                       None          L1 or L2 hit            No    
